Descipline,Slug_Game,Event,Gender,Medal,Participant_Type,Full_Name,Country,Country_Code
Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,Stefania CONSTANTINI,Italy,ITA
Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,Amos MOSANER,Italy,ITA
Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,Kristin SKASLIEN,Norway,NOR
Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,Magnus NEDREGOTTEN,Norway,NOR
Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,Almida DE VAL,Sweden,SWE
Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,Oskar ERIKSSON,Sweden,SWE
Curling,beijing-2022,Women,Women,GOLD,GameTeam,,Great Britain,GBR
Curling,beijing-2022,Women,Women,SILVER,GameTeam,,Japan,JPN
Curling,beijing-2022,Women,Women,BRONZE,GameTeam,,Sweden,SWE
Curling,beijing-2022,Men,Men,GOLD,GameTeam,,Sweden,SWE
Curling,beijing-2022,Men,Men,SILVER,GameTeam,,Great Britain,GBR
Curling,beijing-2022,Men,Men,BRONZE,GameTeam,,Canada,CAN
Freestyle Skiing,beijing-2022,Men's Moguls,Men,SILVER,Athlete,Mikael KINGSBURY,Canada,CAN
Freestyle Skiing,beijing-2022,Men's Moguls,Men,GOLD,Athlete,Walter WALLBERG,Sweden,SWE
Freestyle Skiing,beijing-2022,Men's Moguls,Men,BRONZE,Athlete,Ikuma HORISHIMA,Japan,JPN
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,GOLD,Athlete,Nico PORTEOUS,New Zealand,NZL
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,SILVER,Athlete,David WISE,United States of America,USA
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,BRONZE,Athlete,Alex FERREIRA,United States of America,USA
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,BRONZE,Athlete,Henrik HARLAUT,Sweden,SWE
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,GOLD,Athlete,Birk RUUD,Norway,NOR
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,SILVER,Athlete,Colby STEVENSON,United States of America,USA
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,BRONZE,Athlete,Sergey RIDZIK,ROC,ROC
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,SILVER,Athlete,Alex FIVA,Switzerland,SUI
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,GOLD,Athlete,Ryan REGEZ,Switzerland,SUI
Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,BRONZE,Athlete,Mathilde GREMAUD,Switzerland,SUI
Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,GOLD,Athlete,Ailing Eileen GU,People's Republic of China,CHN
Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,SILVER,Athlete,Tess LEDEUX,France,FRA
Freestyle Skiing,beijing-2022,Women's Moguls,Women,SILVER,Athlete,Jaelin KAUF,United States of America,USA
Freestyle Skiing,beijing-2022,Women's Moguls,Women,GOLD,Athlete,Jakara ANTHONY,Australia,AUS
Freestyle Skiing,beijing-2022,Women's Moguls,Women,BRONZE,Athlete,Anastasiia SMIRNOVA,ROC,ROC
Freestyle Skiing,beijing-2022,Mixed Team Aerials,Mixed,GOLD,GameTeam,,United States of America,USA
Freestyle Skiing,beijing-2022,Mixed Team Aerials,Mixed,SILVER,GameTeam,,People's Republic of China,CHN
Freestyle Skiing,beijing-2022,Mixed Team Aerials,Mixed,BRONZE,GameTeam,,Canada,CAN
Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,SILVER,Athlete,Marielle THOMPSON,Canada,CAN
Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,GOLD,Athlete,Sandra NAESLUND,Sweden,SWE
Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,BRONZE,Athlete,Daniela MAIER,Germany,GER
Freestyle Skiing,beijing-2022,Men's Aerials,Men,BRONZE,Athlete,Ilia BUROV,ROC,ROC
Freestyle Skiing,beijing-2022,Men's Aerials,Men,GOLD,Athlete,Guangpu QI,People's Republic of China,CHN
Freestyle Skiing,beijing-2022,Men's Aerials,Men,SILVER,Athlete,Oleksandr ABRAMENKO,Ukraine,UKR
Freestyle Skiing,beijing-2022,Women's Aerials,Women,SILVER,Athlete,Hanna HUSKOVA,Belarus,BLR
Freestyle Skiing,beijing-2022,Women's Aerials,Women,GOLD,Athlete,Mengtao XU,People's Republic of China,CHN
Freestyle Skiing,beijing-2022,Women's Aerials,Women,BRONZE,Athlete,Megan NICK,United States of America,USA
Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,SILVER,Athlete,Cassie SHARPE,Canada,CAN
Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,GOLD,Athlete,Ailing Eileen GU,People's Republic of China,CHN
Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,BRONZE,Athlete,Rachel KARKER,Canada,CAN
Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,SILVER,Athlete,Ailing Eileen GU,People's Republic of China,CHN
Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,GOLD,Athlete,Mathilde GREMAUD,Switzerland,SUI
Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,BRONZE,Athlete,Kelly SILDARU,Estonia,EST
Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,SILVER,Athlete,Nicholas GOEPPER,United States of America,USA
Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,BRONZE,Athlete,Jesper TJADER,Sweden,SWE
Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,GOLD,Athlete,Alexander HALL,United States of America,USA
Short Track Speed Skating,beijing-2022,Women's 500m,Women,SILVER,Athlete,Suzanne SCHULTING,Netherlands,NED
Short Track Speed Skating,beijing-2022,Women's 500m,Women,BRONZE,Athlete,Kim BOUTIN,Canada,CAN
Short Track Speed Skating,beijing-2022,Women's 500m,Women,GOLD,Athlete,Arianna FONTANA,Italy,ITA
Short Track Speed Skating,beijing-2022,Men's 500m,Men,BRONZE,Athlete,Steven DUBOIS,Canada,CAN
Short Track Speed Skating,beijing-2022,Men's 500m,Men,GOLD,Athlete,Shaoang LIU,Hungary,HUN
Short Track Speed Skating,beijing-2022,Men's 500m,Men,SILVER,Athlete,Konstantin IVLIEV,ROC,ROC
Short Track Speed Skating,beijing-2022,Men's 5000m Relay,Men,GOLD,GameTeam,,Canada,CAN
Short Track Speed Skating,beijing-2022,Men's 5000m Relay,Men,SILVER,GameTeam,,Republic of Korea,KOR
Short Track Speed Skating,beijing-2022,Men's 5000m Relay,Men,BRONZE,GameTeam,,Italy,ITA
Short Track Speed Skating,beijing-2022,Team Relay,Mixed,GOLD,GameTeam,,People's Republic of China,CHN
Short Track Speed Skating,beijing-2022,Team Relay,Mixed,SILVER,GameTeam,,Italy,ITA
Short Track Speed Skating,beijing-2022,Team Relay,Mixed,BRONZE,GameTeam,,Hungary,HUN
Short Track Speed Skating,beijing-2022,Men's 1500m,Men,BRONZE,Athlete,Semen ELISTRATOV,ROC,ROC
Short Track Speed Skating,beijing-2022,Men's 1500m,Men,GOLD,Athlete,Daeheon HWANG,Republic of Korea,KOR
Short Track Speed Skating,beijing-2022,Men's 1500m,Men,SILVER,Athlete,Steven DUBOIS,Canada,CAN
Short Track Speed Skating,beijing-2022,Men's 1000m,Men,GOLD,Athlete,Ziwei REN,People's Republic of China,CHN
Short Track Speed Skating,beijing-2022,Men's 1000m,Men,SILVER,Athlete,Wenlong LI,People's Republic of China,CHN
Short Track Speed Skating,beijing-2022,Men's 1000m,Men,BRONZE,Athlete,Shaoang LIU,Hungary,HUN
Short Track Speed Skating,beijing-2022,Women's 3000m Relay,Women,GOLD,GameTeam,,Netherlands,NED
Short Track Speed Skating,beijing-2022,Women's 3000m Relay,Women,SILVER,GameTeam,,Republic of Korea,KOR
Short Track Speed Skating,beijing-2022,Women's 3000m Relay,Women,BRONZE,GameTeam,,People's Republic of China,CHN
Short Track Speed Skating,beijing-2022,Women's 1000m,Women,GOLD,Athlete,Suzanne SCHULTING,Netherlands,NED
Short Track Speed Skating,beijing-2022,Women's 1000m,Women,SILVER,Athlete,Minjeong CHOI,Republic of Korea,KOR
Short Track Speed Skating,beijing-2022,Women's 1000m,Women,BRONZE,Athlete,Hanne DESMET,Belgium,BEL
Short Track Speed Skating,beijing-2022,Women's 1500m,Women,GOLD,Athlete,Minjeong CHOI,Republic of Korea,KOR
Short Track Speed Skating,beijing-2022,Women's 1500m,Women,BRONZE,Athlete,Suzanne SCHULTING,Netherlands,NED
Short Track Speed Skating,beijing-2022,Women's 1500m,Women,SILVER,Athlete,Arianna FONTANA,Italy,ITA
Snowboard,beijing-2022,Women's Snowboard Halfpipe,Women,SILVER,Athlete,Queralt CASTELLET,Spain,ESP
Snowboard,beijing-2022,Women's Snowboard Halfpipe,Women,BRONZE,Athlete,Sena TOMITA,Japan,JPN
Snowboard,beijing-2022,Women's Snowboard Halfpipe,Women,GOLD,Athlete,Chloe KIM,United States of America,USA
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,GOLD,GameTeam,Nick BAUMGARTNER,United States of America,USA
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,GOLD,GameTeam,Lindsey JACOBELLIS,United States of America,USA
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,SILVER,GameTeam,Omar VISINTIN,Italy,ITA
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,SILVER,GameTeam,Michela MOIOLI,Italy,ITA
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,BRONZE,GameTeam,Eliot GRONDIN,Canada,CAN
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,BRONZE,GameTeam,Meryeta ODINE,Canada,CAN
Snowboard,beijing-2022,Women's Snowboard Cross,Women,BRONZE,Athlete,Meryeta ODINE,Canada,CAN
Snowboard,beijing-2022,Women's Snowboard Cross,Women,SILVER,Athlete,Chloe TRESPEUCH,France,FRA
Snowboard,beijing-2022,Women's Snowboard Cross,Women,GOLD,Athlete,Lindsey JACOBELLIS,United States of America,USA
Snowboard,beijing-2022,Men's Parallel Giant Slalom,Men,SILVER,Athlete,Tim MASTNAK,Slovenia,SLO
Snowboard,beijing-2022,Men's Parallel Giant Slalom,Men,GOLD,Athlete,Benjamin KARL,Austria,AUT
Snowboard,beijing-2022,Men's Parallel Giant Slalom,Men,BRONZE,Athlete,Vic WILD,ROC,ROC
Snowboard,beijing-2022,Women's Snowboard Big Air,Women,BRONZE,Athlete,Kokomo MURASE,Japan,JPN
Snowboard,beijing-2022,Women's Snowboard Big Air,Women,SILVER,Athlete,Zoi SADOWSKI SYNNOTT,New Zealand,NZL
Snowboard,beijing-2022,Women's Snowboard Big Air,Women,GOLD,Athlete,Anna GASSER,Austria,AUT
Snowboard,beijing-2022,Men's Snowboard Cross,Men,BRONZE,Athlete,Omar VISINTIN,Italy,ITA
Snowboard,beijing-2022,Men's Snowboard Cross,Men,SILVER,Athlete,Eliot GRONDIN,Canada,CAN
Snowboard,beijing-2022,Men's Snowboard Cross,Men,GOLD,Athlete,Alessandro HAEMMERLE,Austria,AUT
Snowboard,beijing-2022,Men's Snowboard Slopestyle,Men,GOLD,Athlete,Max PARROT,Canada,CAN
Snowboard,beijing-2022,Men's Snowboard Slopestyle,Men,SILVER,Athlete,Yiming SU,People's Republic of China,CHN
Snowboard,beijing-2022,Men's Snowboard Slopestyle,Men,BRONZE,Athlete,Mark MCMORRIS,Canada,CAN
Snowboard,beijing-2022,Men's Snowboard Halfpipe,Men,BRONZE,Athlete,Jan SCHERRER,Switzerland,SUI
Snowboard,beijing-2022,Men's Snowboard Halfpipe,Men,GOLD,Athlete,Ayumu HIRANO,Japan,JPN
Snowboard,beijing-2022,Men's Snowboard Halfpipe,Men,SILVER,Athlete,Scotty JAMES,Australia,AUS
Snowboard,beijing-2022,Women's Snowboard Slopestyle,Women,BRONZE,Athlete,Tess COADY,Australia,AUS
Snowboard,beijing-2022,Women's Snowboard Slopestyle,Women,SILVER,Athlete,Julia MARINO,United States of America,USA
Snowboard,beijing-2022,Women's Snowboard Slopestyle,Women,GOLD,Athlete,Zoi SADOWSKI SYNNOTT,New Zealand,NZL
Snowboard,beijing-2022,Women's Parallel Giant Slalom,Women,SILVER,Athlete,Daniela ULBING,Austria,AUT
Snowboard,beijing-2022,Women's Parallel Giant Slalom,Women,GOLD,Athlete,Ester LEDECKA,Czech Republic,CZE
Snowboard,beijing-2022,Women's Parallel Giant Slalom,Women,BRONZE,Athlete,Gloria KOTNIK,Slovenia,SLO
Snowboard,beijing-2022,Men's Snowboard Big Air,Men,SILVER,Athlete,Mons ROISLAND,Norway,NOR
Snowboard,beijing-2022,Men's Snowboard Big Air,Men,GOLD,Athlete,Yiming SU,People's Republic of China,CHN
Snowboard,beijing-2022,Men's Snowboard Big Air,Men,BRONZE,Athlete,Max PARROT,Canada,CAN
Ski Jumping,beijing-2022,Men's Team,Men,GOLD,GameTeam,,Austria,AUT
Ski Jumping,beijing-2022,Men's Team,Men,SILVER,GameTeam,,Slovenia,SLO
Ski Jumping,beijing-2022,Men's Team,Men,BRONZE,GameTeam,,Germany,GER
Ski Jumping,beijing-2022,Men's LH Individual,Men,GOLD,Athlete,Marius LINDVIK,Norway,NOR
Ski Jumping,beijing-2022,Men's LH Individual,Men,SILVER,Athlete,Ryoyu KOBAYASHI,Japan,JPN
Ski Jumping,beijing-2022,Men's LH Individual,Men,BRONZE,Athlete,Karl GEIGER,Germany,GER
Ski Jumping,beijing-2022,Mixed Team,Mixed,GOLD,GameTeam,,Slovenia,SLO
Ski Jumping,beijing-2022,Mixed Team,Mixed,SILVER,GameTeam,,ROC,ROC
Ski Jumping,beijing-2022,Mixed Team,Mixed,BRONZE,GameTeam,,Canada,CAN
Ski Jumping,beijing-2022,Women's NH Individual,Women,SILVER,Athlete,Katharina ALTHAUS,Germany,GER
Ski Jumping,beijing-2022,Women's NH Individual,Women,GOLD,Athlete,Ursa BOGATAJ,Slovenia,SLO
Ski Jumping,beijing-2022,Women's NH Individual,Women,BRONZE,Athlete,Nika KRIZNAR,Slovenia,SLO
Ski Jumping,beijing-2022,Men's NH Individual,Men,BRONZE,Athlete,Dawid KUBACKI,Poland,POL
Ski Jumping,beijing-2022,Men's NH Individual,Men,SILVER,Athlete,Manuel FETTNER,Austria,AUT
Ski Jumping,beijing-2022,Men's NH Individual,Men,GOLD,Athlete,Ryoyu KOBAYASHI,Japan,JPN
Figure skating,beijing-2022,Team Event,Mixed,GOLD,GameTeam,Mark KONDRATIUK,ROC,ROC
Figure skating,beijing-2022,Team Event,Mixed,GOLD,GameTeam,Kamila VALIEVA,ROC,ROC
Figure skating,beijing-2022,Team Event,Mixed,SILVER,GameTeam,,United States of America,USA
Figure skating,beijing-2022,Team Event,Mixed,BRONZE,GameTeam,,Japan,JPN
Figure skating,beijing-2022,Pair Skating,Mixed,GOLD,GameTeam,Wenjing SUI,People's Republic of China,CHN
Figure skating,beijing-2022,Pair Skating,Mixed,GOLD,GameTeam,Cong HAN,People's Republic of China,CHN
Figure skating,beijing-2022,Pair Skating,Mixed,SILVER,GameTeam,Evgenia TARASOVA,ROC,ROC
Figure skating,beijing-2022,Pair Skating,Mixed,SILVER,GameTeam,Vladimir MOROZOV,ROC,ROC
Figure skating,beijing-2022,Pair Skating,Mixed,BRONZE,GameTeam,Anastasia MISHINA,ROC,ROC
Figure skating,beijing-2022,Pair Skating,Mixed,BRONZE,GameTeam,Aleksandr GALLIAMOV,ROC,ROC
Figure skating,beijing-2022,Ice Dance,Mixed,GOLD,GameTeam,Gabriella PAPADAKIS,France,FRA
Figure skating,beijing-2022,Ice Dance,Mixed,GOLD,GameTeam,Guillaume CIZERON,France,FRA
Figure skating,beijing-2022,Ice Dance,Mixed,SILVER,GameTeam,Victoria SINITSINA,ROC,ROC
Figure skating,beijing-2022,Ice Dance,Mixed,SILVER,GameTeam,Nikita KATSALAPOV,ROC,ROC
Figure skating,beijing-2022,Ice Dance,Mixed,BRONZE,GameTeam,Madison HUBBELL,United States of America,USA
Figure skating,beijing-2022,Ice Dance,Mixed,BRONZE,GameTeam,Zachary DONOHUE,United States of America,USA
Figure skating,beijing-2022,Women Single Skating,Women,GOLD,Athlete,Anna SHCHERBAKOVA,ROC,ROC
Figure skating,beijing-2022,Women Single Skating,Women,SILVER,Athlete,Alexandra Trusova,ROC,ROC
Figure skating,beijing-2022,Women Single Skating,Women,BRONZE,Athlete,Kaori SAKAMOTO,Japan,JPN
Figure skating,beijing-2022,Men Single Skating,Men,BRONZE,Athlete,Shoma UNO,Japan,JPN
Figure skating,beijing-2022,Men Single Skating,Men,GOLD,Athlete,Nathan CHEN,United States of America,USA
Figure skating,beijing-2022,Men Single Skating,Men,SILVER,Athlete,Yuma KAGIYAMA,Japan,JPN
Luge,beijing-2022,Team Relay,Mixed,GOLD,GameTeam,,Germany,GER
Luge,beijing-2022,Team Relay,Mixed,SILVER,GameTeam,,Austria,AUT
Luge,beijing-2022,Team Relay,Mixed,BRONZE,GameTeam,,Latvia,LAT
Luge,beijing-2022,Doubles,Open,GOLD,GameTeam,Tobias WENDL,Germany,GER
Luge,beijing-2022,Doubles,Open,GOLD,GameTeam,Tobias ARLT,Germany,GER
Luge,beijing-2022,Doubles,Open,SILVER,GameTeam,Toni EGGERT,Germany,GER
Luge,beijing-2022,Doubles,Open,SILVER,GameTeam,Sascha BENECKEN,Germany,GER
Luge,beijing-2022,Doubles,Open,BRONZE,GameTeam,Thomas STEU,Austria,AUT
Luge,beijing-2022,Doubles,Open,BRONZE,GameTeam,Lorenz KOLLER,Austria,AUT
Luge,beijing-2022,Men's Singles,Men,SILVER,Athlete,Wolfgang KINDL,Austria,AUT
Luge,beijing-2022,Men's Singles,Men,GOLD,Athlete,Johannes LUDWIG,Germany,GER
Luge,beijing-2022,Men's Singles,Men,BRONZE,Athlete,Dominik FISCHNALLER,Italy,ITA
Luge,beijing-2022,Women's Singles,Women,SILVER,Athlete,Anna BERREITER,Germany,GER
Luge,beijing-2022,Women's Singles,Women,BRONZE,Athlete,Tatyana IVANOVA,ROC,ROC
Luge,beijing-2022,Women's Singles,Women,GOLD,Athlete,Natalie GEISENBERGER,Germany,GER
Ice Hockey,beijing-2022,Men,Men,GOLD,GameTeam,,Finland,FIN
Ice Hockey,beijing-2022,Men,Men,SILVER,GameTeam,,ROC,ROC
Ice Hockey,beijing-2022,Men,Men,BRONZE,GameTeam,,Slovakia,SVK
Ice Hockey,beijing-2022,Women,Women,GOLD,GameTeam,,Canada,CAN
Ice Hockey,beijing-2022,Women,Women,SILVER,GameTeam,,United States of America,USA
Ice Hockey,beijing-2022,Women,Women,BRONZE,GameTeam,,Finland,FIN
Biathlon,beijing-2022,Men's 12.5km Pursuit,Men,GOLD,Athlete,Quentin FILLON MAILLET,France,FRA
Biathlon,beijing-2022,Men's 12.5km Pursuit,Men,SILVER,Athlete,Tarjei BOE,Norway,NOR
Biathlon,beijing-2022,Men's 12.5km Pursuit,Men,BRONZE,Athlete,Eduard LATYPOV,ROC,ROC
Biathlon,beijing-2022,Mixed Relay 4x6km (W+M),Mixed,GOLD,GameTeam,,Norway,NOR
Biathlon,beijing-2022,Mixed Relay 4x6km (W+M),Mixed,SILVER,GameTeam,,France,FRA
Biathlon,beijing-2022,Mixed Relay 4x6km (W+M),Mixed,BRONZE,GameTeam,,ROC,ROC
Biathlon,beijing-2022,Women's 12.5km Mass Start,Women,SILVER,Athlete,Tiril ECKHOFF,Norway,NOR
Biathlon,beijing-2022,Women's 12.5km Mass Start,Women,GOLD,Athlete,Justine BRAISAZ,France,FRA
Biathlon,beijing-2022,Women's 12.5km Mass Start,Women,BRONZE,Athlete,Marte Olsbu ROEISELAND,Norway,NOR
Biathlon,beijing-2022,Women's 10km Pursuit,Women,SILVER,Athlete,Elvira OEBERG,Sweden,SWE
Biathlon,beijing-2022,Women's 10km Pursuit,Women,BRONZE,Athlete,Tiril ECKHOFF,Norway,NOR
Biathlon,beijing-2022,Women's 10km Pursuit,Women,GOLD,Athlete,Marte Olsbu ROEISELAND,Norway,NOR
Biathlon,beijing-2022,Men's 10km Sprint,Men,SILVER,Athlete,Quentin FILLON MAILLET,France,FRA
Biathlon,beijing-2022,Men's 10km Sprint,Men,GOLD,Athlete,Johannes Thingnes BOE,Norway,NOR
Biathlon,beijing-2022,Men's 10km Sprint,Men,BRONZE,Athlete,Tarjei BOE,Norway,NOR
Biathlon,beijing-2022,Women's 7.5km Sprint,Women,SILVER,Athlete,Elvira OEBERG,Sweden,SWE
Biathlon,beijing-2022,Women's 7.5km Sprint,Women,GOLD,Athlete,Marte Olsbu ROEISELAND,Norway,NOR
Biathlon,beijing-2022,Women's 7.5km Sprint,Women,BRONZE,Athlete,Dorothea WIERER,Italy,ITA
Biathlon,beijing-2022,Women's 4x6km Relay,Women,GOLD,GameTeam,,Sweden,SWE
Biathlon,beijing-2022,Women's 4x6km Relay,Women,SILVER,GameTeam,,ROC,ROC
Biathlon,beijing-2022,Women's 4x6km Relay,Women,BRONZE,GameTeam,,Germany,GER
Biathlon,beijing-2022,Men's 15km Mass Start,Men,SILVER,Athlete,Martin PONSILUOMA,Sweden,SWE
Biathlon,beijing-2022,Men's 15km Mass Start,Men,BRONZE,Athlete,Vetle Sjaastad CHRISTIANSEN,Norway,NOR
Biathlon,beijing-2022,Men's 15km Mass Start,Men,GOLD,Athlete,Johannes Thingnes BOE,Norway,NOR
Biathlon,beijing-2022,Men's 20km Individual,Men,BRONZE,Athlete,Johannes Thingnes BOE,Norway,NOR
Biathlon,beijing-2022,Men's 20km Individual,Men,SILVER,Athlete,Anton SMOLSKI,Belarus,BLR
Biathlon,beijing-2022,Men's 20km Individual,Men,GOLD,Athlete,Quentin FILLON MAILLET,France,FRA
Biathlon,beijing-2022,Men's 4x7.5km Relay,Men,GOLD,GameTeam,,Norway,NOR
Biathlon,beijing-2022,Men's 4x7.5km Relay,Men,SILVER,GameTeam,,France,FRA
Biathlon,beijing-2022,Men's 4x7.5km Relay,Men,BRONZE,GameTeam,,ROC,ROC
Biathlon,beijing-2022,Women's 15km Individual,Women,GOLD,Athlete,Denise HERRMANN,Germany,GER
Biathlon,beijing-2022,Women's 15km Individual,Women,SILVER,Athlete,Anais CHEVALIER,France,FRA
Biathlon,beijing-2022,Women's 15km Individual,Women,BRONZE,Athlete,Marte Olsbu ROEISELAND,Norway,NOR
Alpine Skiing,beijing-2022,Men's Slalom,Men,GOLD,Athlete,Clement NOEL,France,FRA
Alpine Skiing,beijing-2022,Men's Slalom,Men,SILVER,Athlete,Johannes STROLZ,Austria,AUT
Alpine Skiing,beijing-2022,Men's Slalom,Men,BRONZE,Athlete,Sebastian FOSS-SOLEVAAG,Norway,NOR
Alpine Skiing,beijing-2022,Men's Downhill,Men,GOLD,Athlete,Beat FEUZ,Switzerland,SUI
Alpine Skiing,beijing-2022,Men's Downhill,Men,SILVER,Athlete,Johan CLAREY,France,FRA
Alpine Skiing,beijing-2022,Men's Downhill,Men,BRONZE,Athlete,Matthias MAYER,Austria,AUT
Alpine Skiing,beijing-2022,Women's Super-G,Women,SILVER,Athlete,Mirjam PUCHNER,Austria,AUT
Alpine Skiing,beijing-2022,Women's Super-G,Women,BRONZE,Athlete,Michelle GISIN,Switzerland,SUI
Alpine Skiing,beijing-2022,Women's Super-G,Women,GOLD,Athlete,Lara GUT - BEHRAMI,Switzerland,SUI
Alpine Skiing,beijing-2022,Men's Super-G,Men,GOLD,Athlete,Matthias MAYER,Austria,AUT
Alpine Skiing,beijing-2022,Men's Super-G,Men,BRONZE,Athlete,Aleksander Aamodt KILDE,Norway,NOR
Alpine Skiing,beijing-2022,Men's Super-G,Men,SILVER,Athlete,Ryan COCHRAN-SIEGLE,United States of America,USA
Alpine Skiing,beijing-2022,Women's Downhill,Women,GOLD,Athlete,Corinne SUTER,Switzerland,SUI
Alpine Skiing,beijing-2022,Women's Downhill,Women,SILVER,Athlete,Sofia GOGGIA,Italy,ITA
Alpine Skiing,beijing-2022,Women's Downhill,Women,BRONZE,Athlete,Nadia DELAGO,Italy,ITA
Alpine Skiing,beijing-2022,Mixed Team Parallel,Mixed,GOLD,GameTeam,,Austria,AUT
Alpine Skiing,beijing-2022,Mixed Team Parallel,Mixed,SILVER,GameTeam,,Germany,GER
Alpine Skiing,beijing-2022,Mixed Team Parallel,Mixed,BRONZE,GameTeam,,Norway,NOR
Alpine Skiing,beijing-2022,Men's Alpine Combined,Men,BRONZE,Athlete,James CRAWFORD,Canada,CAN
Alpine Skiing,beijing-2022,Men's Alpine Combined,Men,GOLD,Athlete,Johannes STROLZ,Austria,AUT
Alpine Skiing,beijing-2022,Men's Alpine Combined,Men,SILVER,Athlete,Aleksander Aamodt KILDE,Norway,NOR
Alpine Skiing,beijing-2022,Men's Giant Slalom,Men,BRONZE,Athlete,Mathieu FAIVRE,France,FRA
Alpine Skiing,beijing-2022,Men's Giant Slalom,Men,SILVER,Athlete,Zan KRANJEC,Slovenia,SLO
Alpine Skiing,beijing-2022,Men's Giant Slalom,Men,GOLD,Athlete,Marco ODERMATT,Switzerland,SUI
Alpine Skiing,beijing-2022,Women's Giant Slalom,Women,SILVER,Athlete,Federica BRIGNONE,Italy,ITA
Alpine Skiing,beijing-2022,Women's Giant Slalom,Women,BRONZE,Athlete,Lara GUT - BEHRAMI,Switzerland,SUI
Alpine Skiing,beijing-2022,Women's Giant Slalom,Women,GOLD,Athlete,Sara HECTOR,Sweden,SWE
Alpine Skiing,beijing-2022,Women's Alpine Combined,Women,BRONZE,Athlete,Federica BRIGNONE,Italy,ITA
Alpine Skiing,beijing-2022,Women's Alpine Combined,Women,SILVER,Athlete,Wendy HOLDENER,Switzerland,SUI
Alpine Skiing,beijing-2022,Women's Alpine Combined,Women,GOLD,Athlete,Michelle GISIN,Switzerland,SUI
Alpine Skiing,beijing-2022,Women's Slalom,Women,GOLD,Athlete,Petra VLHOVA,Slovakia,SVK
Alpine Skiing,beijing-2022,Women's Slalom,Women,BRONZE,Athlete,Wendy HOLDENER,Switzerland,SUI
Alpine Skiing,beijing-2022,Women's Slalom,Women,SILVER,Athlete,Katharina LIENSBERGER,Austria,AUT
Skeleton,beijing-2022,Women,Women,SILVER,Athlete,Jackie NARRACOTT,Australia,AUS
Skeleton,beijing-2022,Women,Women,GOLD,Athlete,Hannah NEISE,Germany,GER
Skeleton,beijing-2022,Women,Women,BRONZE,Athlete,Kimberley BOS,Netherlands,NED
Skeleton,beijing-2022,Men,Men,SILVER,Athlete,Axel JUNGK,Germany,GER
Skeleton,beijing-2022,Men,Men,BRONZE,Athlete,Wengang YAN,People's Republic of China,CHN
Skeleton,beijing-2022,Men,Men,GOLD,Athlete,Christopher GROTHEER,Germany,GER
Cross Country Skiing,beijing-2022,Women's Sprint Free,Women,SILVER,Athlete,Maja DAHLQVIST,Sweden,SWE
Cross Country Skiing,beijing-2022,Women's Sprint Free,Women,BRONZE,Athlete,Jessica DIGGINS,United States of America,USA
Cross Country Skiing,beijing-2022,Women's Sprint Free,Women,GOLD,Athlete,Jonna SUNDLING,Sweden,SWE
Cross Country Skiing,beijing-2022,Women's Team Sprint Classic,Women,GOLD,GameTeam,Katharina HENNIG,Germany,GER
Cross Country Skiing,beijing-2022,Women's Team Sprint Classic,Women,GOLD,GameTeam,Victoria CARL,Germany,GER
